refdes	device	value	footprint
C2	CAPACITOR	2.2uF	0402
R4	RESISTOR	2.8K	0402
R3	RESISTOR	28K	0402
R8	RESISTOR	1	0402
CE2	CAPACITOR	1pF	0402
RE2	RESISTOR	100	0402
RC1	RESISTOR	3.3K	0402
Q2	NPN_TRANSISTOR	unknown	SOT23
C1	CAPACITOR	2.2uF	0402
VCC	VOLTAGE_SOURCE	DC 15V	none
Vinput	vsin	DC 1.6V AC 10MV SIN(0 1MV 1KHZ)	none
CE1	CAPACITOR	1pF	0402
Cout	CAPACITOR	2.2uF	0402
RL	RESISTOR	100K	0402
RC2	RESISTOR	1K	0402
RE1	RESISTOR	100	0402
R2	RESISTOR	2K	0402
R1	RESISTOR	28K	0402
R5	RESISTOR	10	0402
Q1	NPN_TRANSISTOR	unknown	SOT23
